class,label,concept
airplane,0,2-3-2 configuration
airplane,0,a lot of buttons and levers
airplane,0,a lot of different controls and buttons
airplane,0,about the size of a large car
airplane,0,accommodate a lot of luggage
airplane,0,adorned with four
airplane,0,aerodynamic
airplane,0,ailerons
airplane,0,ailerons on the wings can be used to turn the plane
airplane,0,ailerons on the wings that help it turn
airplane,0,aisles in between rows
airplane,0,also has a tail with a vertical stabilizer
airplane,0,altitude indicator tells the pilot how high the plane is
airplane,0,always amazed by it
airplane,0,amazing
airplane,0,amazing invention
airplane,0,amazing machine
airplane,0,amazing machines that allow us to travel to different places
airplane,0,angled slightly upwards
airplane,0,appeared to be well-maintained and well-cared for
airplane,0,appears to be in motion because of the way the dots are arranged in the rows and columns
airplane,0,arranged in a series of rows and columns
airplane,0,arrangement of the dots creates an illusion of movement
airplane,0,attached to the body of the object near the middle
airplane,0,attached to the body of the object with metal supports
airplane,0,attached to the body of the object with struts
airplane,0,attached to the body of the plane by narrow metal rods
airplane,0,attached to the fuselage at the midpoint
airplane,0,attached to the sides of the body
airplane,0,attached to the sides of the object
airplane,0,back end is tapered
airplane,0,back end of the object is squared off
airplane,0,back has a set of horizontal flaps
airplane,0,back of the object is rounded
airplane,0,back of the plane has a rounded
airplane,0,baggage area for passengers to store their luggage
airplane,0,bathroom
airplane,0,beautiful color scheme
airplane,0,beautiful object
airplane,0,beautiful sight to see
airplane,0,beautiful white
airplane,0,beautiful white color
airplane,0,being serviced on the ground
airplane,0,big and silver
airplane,0,big and white
airplane,0,black
airplane,0,blue and white checkered pattern on the wings
airplane,0,blue nose and tail
airplane,0,blue stripes make the object stand out
airplane,0,blue stripes running down the sides
airplane,0,blue with white stripes
airplane,0,blue with white stripes on the sides
airplane,0,body is round
airplane,0,body is slender and tapered
airplane,0,body is typically round or oval-shaped
airplane,0,body of plane is also long and thin
airplane,0,body of the object
airplane,0,body of the object is slender and streamlined
airplane,0,body of the object is slightly curved
airplane,0,body of the object is slim and streamlined
airplane,0,body tapers to a point at the front
