class,label,path
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg
black footed albatross,0,images/001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg
laysan albatross,1,images/002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0032_1149.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0045_1162.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0073_1171.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0064_796343.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0017_796349.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0068_796353.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0057_796354.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0025_796361.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0072_796371.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0014_796373.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0040_796375.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0019_796391.jpg
sooty albatross,2,images/003.Sooty_Albatross/Sooty_Albatross_0023_796401.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0069_1546.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0071_1559.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0105_1562.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0090_1567.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0036_1604.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0085_1612.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0007_1615.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0015_1653.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0076_1661.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0072_1696.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0047_1706.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0077_1724.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0091_1728.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0023_1485.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0004_1528.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0056_1493.jpg
groove billed ani,3,images/004.Groove_billed_Ani/Groove_Billed_Ani_0027_1754.jpg
