class,label
banded,0
blotchy,1
braided,2
bubbly,3
bumpy,4
chequered,5
cobwebbed,6
cracked,7
crosshatched,8
crystalline,9
dotted,10
fibrous,11
flecked,12
freckled,13
frilly,14
gauzy,15
grid,16
grooved,17
honeycombed,18
interlaced,19
knitted,20
lacelike,21
lined,22
marbled,23
matted,24
meshed,25
paisley,26
perforated,27
pitted,28
pleated,29
polka-dotted,30
porous,31
potholed,32
scaly,33
smeared,34
spiralled,35
sprinkled,36
stained,37
stratified,38
striped,39
studded,40
swirly,41
veined,42
waffled,43
woven,44
wrinkled,45
zigzagged,46
