class,label,concept
banded,0,abstract or representational
banded,0,add a touch of style and sophistication to any space
banded,0,add interest and visual interest to a variety of different projects
banded,0,add interest to a design
banded,0,add visual interest and dimension to any space
banded,0,add visual interest or to create a sense of movement in a design
banded,0,add visual interest to a design
banded,0,add visual interest to any room
banded,0,alternating layers of light and
banded,0,any width
banded,0,around a few millimeters
banded,0,arranged in a random order
banded,0,arranged in a regular or irregular pattern
banded,0,arranged in different patterns
banded,0,baby blue
banded,0,"banding in these rocks can be caused by different processes, including compaction, cementation,"
banded,0,bands may be intersected by other bands or textures
banded,0,bands may intersect or overlap
banded,0,bands of color running horizontally across the surface
banded,0,beautiful blue color with a very slight greenish cast
banded,0,blue
banded,0,certain types of rocks and minerals
banded,0,changes in the depositional environment
banded,0,"characterized by thin, parallel bands of different colors"
banded,0,clean blue color with a very soft greenish hue
banded,0,close together
banded,0,close together or far apart
banded,0,color is a light blue
banded,0,color is a light brown
banded,0,color is very unique
banded,0,"color, grain, and composition"
banded,0,colors are arranged in a specific pattern
banded,0,colors are very beautiful and mesmerizing
banded,0,colors are very bold and eye-catching
banded,0,colors are very bold and strong
banded,0,colors are very bright and cheerful
banded,0,colors are very bright and exciting
banded,0,colors are very bright and vibrant
banded,0,colors are very deep and rich
banded,0,colors are very intense and powerful
banded,0,colors are very saturated and intense
banded,0,colors are very soft and calming
banded,0,colors are very soft and delicate
banded,0,colors are very vivid and striking
banded,0,colors are very warm and inviting
banded,0,colors may be contrasting or similar
banded,0,colors may be similar or contrasting
banded,0,colors of the clay are visible in the bands
banded,0,composed of alternating layers of light and dark material
banded,0,consists of a series of parallel bands
banded,0,consists of alternating bands of light and dark colors
banded,0,consists of alternating light and dark bands
banded,0,continuous or discontinuous
banded,0,create a texture pattern
banded,0,"create a variety of different effects, including texture plaids, and checkerboards"
banded,0,create illusion of movement or a sense of rhythm in a design
banded,0,created as the different materials interact with each other
banded,0,created by layering different materials on top of each other
banded,0,"created by the different colors of the lines, as well as by their different thicknesses"
banded,0,"created by using a variety of techniques, such as weaving, braiding, or layering"
banded,0,created by using different colors of clay or by using different colors of paint
banded,0,created by using different colors of yarn or by using different stitches
banded,0,created by using different printing techniques
banded,0,"created using a variety of different materials, including fabric, paper, metal, and wood"
banded,0,"created using a variety of different materials, including paint, ink, fabric, and paper"
banded,0,created using a variety of materials and techniques
banded,0,"created using a variety of methods, including painting, printing, and weaving"
banded,0,"created using a variety of methods, including weaving, knitting, and embroidery"
banded,0,created using a variety of techniques
banded,0,"created using fabric, paper, or other materials"
banded,0,created when different materials are layered on top of each other
banded,0,created when different minerals texture at different rates
banded,0,created when rocks are subjected to extreme heat and pressure
banded,0,created with texture of different widths or by weaving together different colored threads
banded,0,criss-crossed
banded,0,curved or straight
banded,0,"dark bands are usually gray, black, or a dark color"
banded,0,dark bands are usually opaque
banded,0,dark blue color
banded,0,dark green color
banded,0,dark layers are darker shades of gray or black
banded,0,dark orange color
banded,0,dark pink color
banded,0,dark purple color
banded,0,darker shades
banded,0,decorative applications
banded,0,decorative applications such as wallpaper or fabric
banded,0,decorative or functional effect
banded,0,decorative or functional purposes
banded,0,decorative purposes or it may be used for functional purposes
banded,0,delicate blue color with a very slight greenish tinge
banded,0,depending on the materials used and the overall design
banded,0,different color than the dark bands
banded,0,different colors
banded,0,different colors and thicknesses of the lines
banded,0,different colors or shades
banded,0,"different colors, shades, or textures"
banded,0,"different colors, sizes, or thicknesses"
banded,0,"different colors, widths, and thicknesses"
banded,0,different densities
banded,0,different elasticity
banded,0,different hardness
banded,0,different layers can be made of different colors or different materials
banded,0,different lengths
banded,0,"different materials may be created by different materials, such as metal, wood, or stone"
banded,0,different minerals are layered on top of each other
banded,0,"different minerals in the rock, or to different levels of weathering"
banded,0,"different processes may be created by different processes, such as carving, inlaying, or painting"
banded,0,"different rates of sedimentation, metamorphism, or other geological processes"
banded,0,different reflectivity
banded,0,different shades of the same color
banded,0,different shades of the same color or different colors altogether
banded,0,different textures
banded,0,different thicknesses
banded,0,different thicknesses and may be of different colors
banded,0,different widths
banded,0,different widths and may be arranged in different patterns
banded,0,different widths and spacing
banded,0,different widths and thicknesses
banded,0,differential weathering of the layers
banded,0,distinctive feature
banded,0,either straight or curved
banded,0,enhanced by the use of light and shadow
banded,0,evenly spaced
banded,0,evenly spaced or have varied spacing
banded,0,extract concepts from sentence
banded,0,few millimeters wide
banded,0,"found in nature, in things like rocks and minerals"
banded,0,gaps or spaces between some of the bands
banded,0,hardness of the minerals
banded,0,"has a rough, uneven surface"
banded,0,help determine the history of the rock
banded,0,"helpful in determining the history of the rock, as well as the conditions under which it formed"
banded,0,"horizontal, vertical, or diagonal rows"
banded,0,infinite or finite
banded,0,intersect or be parallel
banded,0,intersect or overlap
banded,0,light blue color
banded,0,light blue color with a hint of green
banded,0,light blue color with a touch of green
banded,0,light blue color with the slightest hint of green
banded,0,light blue hue to it
banded,0,light blue shade to it
banded,0,light blue tint
banded,0,light brown
banded,0,light brown color with a hint of black
banded,0,light brown color with a hint of blue
banded,0,light brown color with a hint of green
banded,0,light brown color with a hint of orange
banded,0,light brown color with a hint of pink
banded,0,light brown color with a hint of purple
banded,0,light brown color with a hint of red
banded,0,light brown color with a hint of white
banded,0,light brown color with a hint of yellow
banded,0,light brown color with a slight yellow tint
banded,0,light brown color with a slight yellowish tinge
banded,0,light brown color with a touch of yellow
banded,0,light brown color with a very slight yellow undertone
banded,0,light brown color with a very slight yellowish tinge
banded,0,light brown color with an extremely slight yellow tinge
banded,0,light brown in color with a very subtle hint of yellow
banded,0,light brown shade with a slight yellow tint
banded,0,light brown with a touch of yellow
banded,0,light brown with a yellow tint
banded,0,light brownish color with a slight yellowish tint
banded,0,light brownish color with a tinge of yellow
banded,0,light brownish color with a very faint yellow hue
banded,0,light brownish color with a very slight yellow tinge
banded,0,"light brownish color with a very, very slight yellow tinge"
banded,0,light brownish-yellow color
banded,0,light brownish-yellow color with a very faint greenish-golden under
banded,0,light brownish-yellow color with a very slight greenish-golden hue
banded,0,light green color
banded,0,light layers are white or pale in color
banded,0,light or dark
banded,0,light orange color
banded,0,light purple color
banded,0,lovely blue color with a very gentle greenish hue
banded,0,"made up of small, closely-spaced ridges"
banded,0,"made up of thin, parallel bands"
banded,0,"metamorphic rocks, such as gneiss and texture iron formation"
banded,0,mix of light and dark colors
banded,0,monochromatic or multicolored
banded,0,more functional applications
