class,label
apply eye makeup,0
apply lipstick,1
archery,2
baby crawling,3
balance beam,4
band marching,5
baseball pitch,6
basketball,7
basketball dunk,8
bench press,9
biking,10
billiards,11
blow dry hair,12
blowing candles,13
body weight squats,14
bowling,15
boxing punching bag,16
boxing speed bag,17
breast stroke,18
brushing teeth,19
clean and jerk,20
cliff diving,21
cricket bowling,22
cricket shot,23
cutting in kitchen,24
diving,25
drumming,26
fencing,27
field hockey penalty,28
floor gymnastics,29
frisbee catch,30
front crawl,31
golf swing,32
haircut,33
hammering,34
hammer throw,35
handstand pushups,36
handstand walking,37
head massage,38
high jump,39
horse race,40
horse riding,41
hula hoop,42
ice dancing,43
javelin throw,44
juggling balls,45
jumping jack,46
jump rope,47
kayaking,48
knitting,49
long jump,50
lunges,51
military parade,52
mixing,53
mopping floor,54
nunchucks,55
parallel bars,56
pizza tossing,57
playing cello,58
playing daf,59
playing dhol,60
playing flute,61
playing guitar,62
playing piano,63
playing sitar,64
playing tabla,65
playing violin,66
pole vault,67
pommel horse,68
pull ups,69
punch,70
push ups,71
rafting,72
rock climbing indoor,73
rope climbing,74
rowing,75
salsa spin,76
shaving beard,77
shotput,78
skate boarding,79
skiing,80
skijet,81
sky diving,82
soccer juggling,83
soccer penalty,84
still rings,85
sumo wrestling,86
surfing,87
swing,88
table tennis shot,89
tai chi,90
tennis swing,91
throw discus,92
trampoline jumping,93
typing,94
uneven bars,95
volleyball spiking,96
walking with dog,97
wall pushups,98
writing on board,99
yo yo,100
