class,label
passion flower,0
water lily,1
cyclamen,2
watercress,3
frangipani,4
wallflower,5
rose,6
petunia,7
poinsettia,8
clematis,9
hibiscus,10
lotus,11
anthurium,12
thorn apple,13
barbeton daisy,14
sword lily,15
morning glory,16
columbine,17
geranium,18
bishop of llandaff,19
tree mallow,20
pink-yellow dahlia,21
bee balm,22
snapdragon,23
californian poppy,24
bird of paradise,25
fritillary,26
sweet william,27
azalea,28
primula,29
cape flower,30
purple coneflower,31
colt's foot,32
artichoke,33
wild pansy,34
peruvian lily,35
ruby-lipped cattleya,36
canna lily,37
gazania,38
lenten rose,39
buttercup,40
pelargonium,41
desert-rose,42
hippeastrum,43
giant white arum lily,44
marigold,45
orange dahlia,46
hard-leaved pocket orchid,47
english marigold,48
stemless gentian,49
tree poppy,50
pincushion flower,51
sunflower,52
magnolia,53
osteospermum,54
garden phlox,55
sweet pea,56
daffodil,57
king protea,58
great masterwort,59
black-eyed susan,60
bearded iris,61
windflower,62
ball moss,63
spear thistle,64
silverbush,65
balloon flower,66
oxeye daisy,67
cautleya spicata,68
common dandelion,69
yellow iris,70
monkshood,71
love in the mist,72
corn poppy,73
grape hyacinth,74
canterbury bells,75
globe-flower,76
toad lily,77
pink primrose,78
fire lily,79
red ginger,80
prince of wales feathers,81
carnation,82
mexican aster,83
alpine sea holly,84
siam tulip,85
spring crocus,86
globe thistle,87
bolero deep blue,88
tiger lily,89
moon orchid,90
gaura,91
japanese anemone,92
foxglove,93
bougainvillea,94
camellia,95
mallow,96
mexican petunia,97
bromelia,98
blanket flower,99
trumpet creeper,100
blackberry lily,101
