class,label,concept
passion flower,0,10 or 11 petals
passion flower,0,10 petals
passion flower,0,a center that resembles
passion flower,0,"a reminder of the strength of christ's love, even in the face of suffering"
passion flower,0,a variety of shapes and sizes
passion flower,0,about 3-4 inches in diameter
passion flower,0,add a touch of elegance to any garden
passion flower,0,add a touch of elegance to any setting
passion flower,0,after the flower blooms
passion flower,0,also associated with the holy spirit
passion flower,0,"also found in pink, red, and"
passion flower,0,also some shade of pink
passion flower,0,annual or perennial
passion flower,0,annual plant
passion flower,0,are often striped or spotted with white
passion flower,0,arranged in a radial pattern
passion flower,0,arranged in a spiral pattern
passion flower,0,arranged in a star-like pattern
passion flower,0,associated with love and passion
passion flower,0,attract attention
passion flower,0,"attract bees, butterflies, and hummingbirds"
passion flower,0,"attracts bees, butterflies, and humming"
passion flower,0,beautiful
passion flower,0,beautiful addition to any garden
passion flower,0,beautiful and delicate flower
passion flower,0,beautiful and exotic flower
passion flower,0,beautiful and mystical plant
passion flower,0,beautiful and popular addition to many gardens
passion flower,0,beautiful and special flower
passion flower,0,beautiful and unique addition to any garden
passion flower,0,beautiful and unique flower
passion flower,0,beautiful and unique plant
passion flower,0,beautiful representation of hope and faith
passion flower,0,beautiful symbol of christ's sacrifice and his enduring love
passion flower,0,beautiful symbol of christ's sacrifice and love
passion flower,0,beautiful symbol of hope and love
passion flower,0,"beautiful, deep purple color"
passion flower,0,"beautiful, delicate appearance"
passion flower,0,"beautiful, delicate flower"
passion flower,0,"beautiful, delicate flower with a range of colors including white, yellow, pink, and purple"
passion flower,0,"beautiful, delicate flower with a wide range of colors"
passion flower,0,"beautiful, exotic appearance"
passion flower,0,"beautiful, exotic flower"
passion flower,0,"beautiful, exotic-looking flower"
passion flower,0,"beautiful, intricate design"
passion flower,0,"beautiful, intricate shape"
passion flower,0,"beautiful, romantic color"
passion flower,0,"beautiful, unique flower"
passion flower,0,"beautiful, unique plant"
passion flower,0,bloom from early summer to late fall
passion flower,0,bloom from late spring to early summer
passion flower,0,blooming period is from summer to fall
passion flower,0,blooms can last for several weeks
passion flower,0,blooms for about two weeks
passion flower,0,blooms from may to october
passion flower,0,blooms from may to september
passion flower,0,blooms from spring to fall
passion flower,0,blooms from summer to fall
passion flower,0,blooms in a variety of colors
passion flower,0,blooms in the summer
passion flower,0,blooms in the summer and early fall
passion flower,0,blooms in the summer and fall
passion flower,0,blooms in the summer months
passion flower,0,blue tint
passion flower,0,"borne on long, slender peduncles"
passion flower,0,borne on stems that arise from the leaf axis
passion flower,0,bright yellow color
passion flower,0,bright yellow or orange color
passion flower,0,brightly colored
passion flower,0,brightly colored bloom
passion flower,0,can also be found blooming in the spring or fall in
passion flower,0,"can be found in a variety of colors including white, purple,"
passion flower,0,can be found in both north and south america
passion flower,0,can grow to be over 30 feet long
passion flower,0,can grow up to 30 feet in length
passion flower,0,can now be found in many parts of the world
passion flower,0,captivate anyone who sees it
passion flower,0,captivate people for centuries
passion flower,0,care and attention
passion flower,0,care should be taken if pets or livestock are present
passion flower,0,center has a number of stamens
passion flower,0,center is a deep purple
passion flower,0,center is bright yellow color
passion flower,0,"center is bright, vibrant color"
passion flower,0,center is filled with a mass of yellow stamens
passion flower,0,center is often a bright yellow or orange
passion flower,0,center is often a deep purple or
passion flower,0,center is often a deep purple or blue
passion flower,0,center is yellow
passion flower,0,"center of flower is filled with small, yellowish-brown pollen-covered stamen"
passion flower,0,center of flower is often a different color than the petals
passion flower,0,center of flower is often filled with numerous stamens
passion flower,0,central column surrounded by petals
passion flower,0,central crown and radial petals
passion flower,0,central disk and 10 petals
passion flower,0,central disk and ring of petals
passion flower,0,climb up trees or other structures in its environment
passion flower,0,climbing or vining in nature
passion flower,0,climbing vine
passion flower,0,closely related to the passion fruit
passion flower,0,color can also vary depending on the time of year
passion flower,0,color can range from a very light purple to a very dark purple
passion flower,0,color embodies both of these qualities
passion flower,0,color is a deep purple
passion flower,0,"color is a deep, rich purple"
passion flower,0,color is also perfect for a flower that represents royalty
passion flower,0,color is also perfect for a romantic gesture
passion flower,0,"color is also said to represent mystery, magic, and power"
passion flower,0,"color is also said to represent passion, desire and creativity"
passion flower,0,color is intense and beautiful
passion flower,0,color is just one of the many reasons why
passion flower,0,color is just one of the many things that make this flower so special
passion flower,0,"color is often compared to that of a deep, rich wine"
passion flower,0,color is often very vibrant and eye-catching
passion flower,0,color is one of its most defining and beautiful features
passion flower,0,color is said to be very lucky in love
passion flower,0,color is said to represent passion and intensity
passion flower,0,color is said to represent royalty and luxury
passion flower,0,color is seen as a sign of spirituality and enlightenment
passion flower,0,color is simply stunning
passion flower,0,color is so intense that it almost seems to have a glow
passion flower,0,color is so rich and vibrant that it almost looks black
passion flower,0,color is so rich and vibrant that it almost seems unreal
passion flower,0,"color is so rich and vibrant, it's almost intoxicating"
passion flower,0,color is truly mesmerizing
passion flower,0,color is truly one of a kind
passion flower,0,color is unique and unforgettable
passion flower,0,color is very beautiful and passion
passion flower,0,color is very bold
passion flower,0,color is very rich and intense
passion flower,0,color is very rich and vibrant
passion flower,0,color is very striking
passion flower,0,color is very unique
passion flower,0,color is very unique and beautiful
passion flower,0,color is very unique and eye-catching
passion flower,0,color is very vibrant
passion flower,0,color purple has always been associated with royalty and luxury
passion flower,0,color reflects that
passion flower,0,color represents deep emotions of love and passion
passion flower,0,color that will make you stop and stare in wonder
passion flower,0,color variation within a single flower
passion flower,0,"colorful, eye-catching bloom"
passion flower,0,colors are said to represent the different stages of christ's passion
passion flower,0,colors are very vibrant
passion flower,0,colors of the flower are a beautiful representation of christ's sacrifice and love
passion flower,0,colors on the flower are stunning
passion flower,0,column is topped with a three-lobed stigma
passion flower,0,comes in a variety of colors
passion flower,0,comes in many colors
passion flower,0,comes in many different colors
passion flower,0,commanding and intriguing
passion flower,0,composed of many small petals that are arranged in a radial pattern
passion flower,0,contains over 500 species
passion flower,0,"covered in small, sharp thorns"
passion flower,0,"covered in small, white hairs"
passion flower,0,cultivated in many gardens
passion flower,0,curl around the center
passion flower,0,curl around the stamen
passion flower,0,curve inward toward the center
passion flower,0,cut back regularly
passion flower,0,deep and rich
passion flower,0,deep purple color with white accents
passion flower,0,"deeper, more intense color"
passion flower,0,delicate and fragile appearance
passion flower,0,delicate blossom at the end
passion flower,0,delicate flower
passion flower,0,"delicate, intricate flower with many petals"
passion flower,0,diameter about 4 inches
passion flower,0,diameter of 3-4 inches
passion flower,0,different aspects of the crucifixion of jesus christ
passion flower,0,different colors
passion flower,0,distinctive appearance
passion flower,0,distinctively shaped bloom
passion flower,0,easy to care for
passion flower,0,easy to identify
passion flower,0,edible
passion flower,0,enjoyed by many people
passion flower,0,extend from the center of the flower
passion flower,0,extend out from the center of the flower
passion flower,0,eye-catching
passion flower,0,fast-growing plant
passion flower,0,"fast-growing, vigorous plant"
passion flower,0,"fast-growing, woody vine"
passion flower,0,first brought to europe by spanish missionaries
passion flower,0,"fleshy, green stem"
passion flower,0,flower itself sitting atop stem
passion flower,0,flowers are very fragrant
passion flower,0,flowers can last for up to two weeks
passion flower,0,flowers last for about a week
passion flower,0,flowers only last for a few days
passion flower,0,flowers produced throughout the summer
passion flower,0,found in a variety of colors
passion flower,0,found in a variety of habitats
passion flower,0,"found in many different climates, from tropical to temperate"
passion flower,0,found in some parts of africa
passion flower,0,found in the tropical and subtropical regions
passion flower,0,fragrance is said to be both sweet and calming
passion flower,0,fragrant flower that attracts bees and other pollinators
passion flower,0,fruit known as the maypop
passion flower,0,fruits of the plant are edible
passion flower,0,gets its name from its unique shape
passion flower,0,"gets its name from its unique shape, which is said to resemble the crucifixi"
passion flower,0,gets its name from the christian passion of christ
passion flower,0,gets its name from the christian symbolism associated with the crucifixion of jesus
passion flower,0,gets its name from the fact that it was often used in
passion flower,0,"gets its name from the fact that the center looks like a crown, which is a"
passion flower,0,gets its name from the fact that the center of the flower resembles a cruci
passion flower,0,green
passion flower,0,"green, heart-shaped leaves"
passion flower,0,grow quite long
passion flower,0,grow to be over 30 feet long
passion flower,0,grow up to 30 feet in length
passion flower,0,grown in other parts of the world
passion flower,0,hardy plant
passion flower,0,has a number of petals that can be either brightly colored or more subdu
passion flower,0,has a very strong scent
passion flower,0,has many medicinal properties
passion flower,0,have a distinct pattern
passion flower,0,have a jagged shape
passion flower,0,healing plant
passion flower,0,hint of mystery
passion flower,0,in the family passifloracea
passion flower,0,includes over 500 species of flowering plants
passion flower,0,instantly recognizable
passion flower,0,intricately designed
passion flower,0,introduced to europe in the 16th century
passion flower,0,introduced to many other parts of the world
passion flower,0,"it is replaced by a green, oval-shaped fruit"
passion flower,0,its tendrils can grow up to 10 feet long
passion flower,0,kept under control
passion flower,0,known as the maypop flower
passion flower,0,known for its sweet fragrance which is said to be reminiscent of the passion fruit
passion flower,0,large
passion flower,0,large central blossom
passion flower,0,large flower
passion flower,0,large number of petals
passion flower,0,large stigma that protrudes from the center
passion flower,0,"large, edible fruits"
passion flower,0,"large, showy bloom"
passion flower,0,"large, showy bloom with five petals"
passion flower,0,"large, showy flower with petals that are often brightly colored"
passion flower,0,leaves and roots used to treat a variety of ailments
passion flower,0,leaves are arranged in a spiral pattern around the stem
passion flower,0,leaves are large and glossy
passion flower,0,leaves are large and lobed
passion flower,0,leaves are three to six inches long and have a serrated edge
passion flower,0,leaves of the flower are a deep green color
passion flower,0,leaves of the flower are large
passion flower,0,leaves of the flower are large and green
passion flower,0,leaves of the flower are large and lobed
passion flower,0,leaves of the flower are typically large and green
passion flower,0,leaves of the flower are usually large and lobed
passion flower,0,less common
passion flower,0,long and slender
passion flower,0,long history of religious and cultural significance
passion flower,0,long stem
passion flower,0,long stem and a wide opening
passion flower,0,long stem and large petals
passion flower,0,long stem with a small flower at the end
passion flower,0,long stem with leaves that are arranged in a spiral pattern
passion flower,0,"long, slender stalk"
passion flower,0,"long, slender stem"
passion flower,0,"long, slender stem with a number of small leaves"
passion flower,0,"long, slender stem with large leaves"
passion flower,0,"long, slender stem with small leaves"
passion flower,0,"long, spiraling petals"
passion flower,0,"long, thin stem"
passion flower,0,made up of a central column surrounded by 10 petals
passion flower,0,magnificent and breathtaking color
passion flower,0,many medicinal properties
passion flower,0,"many things, including love, passion, and spirituality"
passion flower,0,medicinal plant
passion flower,0,member of the family passifloraceae
passion flower,0,member of the genus passiflora
passion flower,0,member of the passifloraceae family
passion flower,0,most common color is purple
passion flower,0,"most common colors are purple, blue, and white"
passion flower,0,name comes from the legend of the passion of christ
passion flower,0,named after the passion of christ
passion flower,0,named after the passion of christ because of its resemblance to the crucifix
passion flower,0,"named after the passion of christ, as its petals are said to represent the crown of t"
passion flower,0,named for its purported resemblance to the passion of christ
passion flower,0,named for its resemblance to a crucifix
passion flower,0,named for its resemblance to the crucifixi
passion flower,0,named for its resemblance to the crucifixion of jesus christ
passion flower,0,named for its resemblance to the passion of christ
passion flower,0,named for the resemblance of its parts to the crucifixion of
passion flower,0,"named for thecrucifixion of jesus christ, as the flower's parts"
passion flower,0,national flower of brazil
passion flower,0,national flower of paraguay
passion flower,0,native of south america
passion flower,0,native plant of south america
passion flower,0,native to a number of tropical and subtropical regions
passion flower,0,native to central and south america
passion flower,0,native to south america
passion flower,0,native to the americas
passion flower,0,native to tropical and subtropical regions of the americas
passion flower,0,"no matter what the color of our skin, we are all loved by christ"
passion flower,0,not always easy to keep alive
passion flower,0,now found in many other parts of the world
passion flower,0,official flower of brazil
passion flower,0,"often associated with love, passion, and fertility"
passion flower,0,"often covered in small, delicate hairs"
passion flower,0,often found growing on vines
passion flower,0,often quite fragrant
passion flower,0,often used as an ornamental plant
passion flower,0,often used in landscaping
passion flower,0,one of the most colorful flowers you can find
passion flower,0,only last for a day or two
passion flower,0,outer petals are usually a lighter purple
passion flower,0,outer petals are usually a lighter purple color
passion flower,0,"outermost layer is made up of large, green leaves"
passion flower,0,outermost petals being the largest
passion flower,0,outermost petals of the flower are often slightly larger than the inner petals
passion flower,0,over 30 feet long
passion flower,0,over 500 species in the family
passion flower,0,part of the flower that
passion flower,0,perfect circle
passion flower,0,petals are a soft and delicate pink color
passion flower,0,petals are a soft pink color
passion flower,0,petals are arranged in a spiral pattern
passion flower,0,petals are curved
passion flower,0,petals are curved and have a spiral shape
passion flower,0,petals are curved inward
passion flower,0,petals are delicate and fragile
passion flower,0,petals are delicate and soft
passion flower,0,petals are equally spaced
passion flower,0,petals are long and thin
passion flower,0,petals are often intricately patterned
passion flower,0,petals are thin and delicate
passion flower,0,petals are usually arranged in a spiral pattern
passion flower,0,petals are usually white or purple
passion flower,0,petals are very thin and delicate
passion flower,0,petals that curl back
passion flower,0,"pink flower is said to represent the suffering of christ, and the purple represents his royalty"
passion flower,0,pink flowers are said to be a symbol of his sufferings
passion flower,0,pistil is long and spirals down the center of the flower
passion flower,0,pistils are also long and thin
passion flower,0,pistils of the flower are also long
passion flower,0,pistils of the flower are short and thick
passion flower,0,please anyone who sees it
passion flower,0,poisonous to animals
passion flower,0,"pollinated by a variety of insects, including bees, butterflies, and mo"
passion flower,0,pollinated by bees
passion flower,0,pollinated by bees and other insects
passion flower,0,popular choice for bouquets and arrangements
passion flower,0,popular choice for bouquets and floral arrangements
passion flower,0,popular choice for bouquets and other floral arrangements
passion flower,0,popular choice for floral arrangements
passion flower,0,popular choice for gardens
passion flower,0,popular choice for gardens and bouquets due to its lovely appearance
passion flower,0,popular choice for gardens and landscaping due to its unique appearance
passion flower,0,popular choice for gardens in these
passion flower,0,popular choice for tattoos and other body art
passion flower,0,popular choice for weddings and other special occasions
passion flower,0,popular garden plant
passion flower,0,popular landscaping plant
passion flower,0,popular ornamental plant
passion flower,0,popular plant for use in gardens and landscaping
passion flower,0,produces fruit that is edible
passion flower,0,protrude from the
passion flower,0,protrude from the center of the flower
passion flower,0,purity
passion flower,0,purple
passion flower,0,purple center
passion flower,0,purple color
passion flower,0,purple flowers represent
passion flower,0,purple or blue
passion flower,0,range in color from white to purple
passion flower,0,range in size from a few inches to a few feet
passion flower,0,"range of colors that can include white, yellow, purple, and pink"
passion flower,0,rare to find a flower with this color
passion flower,0,reach heights of up to 20 feet
passion flower,0,reach up to 30 feet length
passion flower,0,regal flower
passion flower,0,relatively easy to care for
passion flower,0,relatively fast-growing plant
passion flower,0,reminder that christ died for our sins and that his love is everlasting
passion flower,0,"reminder that even in the dark of times, love will always prevail"
passion flower,0,reminder that we all must go through difficult times in order to appreciate the good moments
passion flower,0,reminiscent of vanilla
passion flower,0,resembles the crown of thorns
passion flower,0,resembles the crown of thorns worn
passion flower,0,"ring of thin, white petals"
passion flower,0,romantic flower
passion flower,0,said to represent the crown of thorns
passion flower,0,scent is often described as being both sweet and exotic
passion flower,0,scent is said to be relaxing and soothing
passion flower,0,shape is very unique
passion flower,0,shaped like a funnel
passion flower,0,"small, delicate hairs on them"
passion flower,0,"small, fleshy berry"
passion flower,0,"small, greenish-yellow berries"
passion flower,0,"small, round fruits that are edible and have a sweet taste"
passion flower,0,"small, yellowish-brownish disc"
passion flower,0,smooth or slightly hairy surface
passion flower,0,soft and velvety
passion flower,0,some of the darkest colors in flowers
passion flower,0,some shade of purple
passion flower,0,source of food for wildlife
passion flower,0,spiky shape
passion flower,0,"spring, flowers tend to be a lighter color"
passion flower,0,stamen and pistils are often prominent
passion flower,0,stamen are long and thin
passion flower,0,stamens are long and protrude from the center of the flower
passion flower,0,stamens of the flower are long and protrude from the center of the flower
passion flower,0,stamens of the flower are long and slender
passion flower,0,stamens of the flower are long and thin
passion flower,0,stands out against any background
passion flower,0,star-like shape
passion flower,0,"state flower of arkansas, florida, and new hampshire"
passion flower,0,state flower of hawaii
passion flower,0,state flower of tennessee
passion flower,0,stem is a thin and delicate pink color
passion flower,0,stem is also green
passion flower,0,stem is woody and climbing
passion flower,0,stem of the flower is thick and fleshy
passion flower,0,stem of the flower is thin and long
passion flower,0,"stems are covered in small, sharp spines"
passion flower,0,striking and exotic looking flower
passion flower,0,strong and sweet fragrance
passion flower,0,strong fragrance
passion flower,0,"strong, sweet fragrance"
passion flower,0,stunning flower
passion flower,0,summer
passion flower,0,surrounded by a
passion flower,0,surrounded by a ring of colorful
passion flower,0,"sweet, intoxicating aroma"
passion flower,0,"sweet, juicy flesh"
passion flower,0,"sweet, pleasant fragrance"
passion flower,0,symbol of beauty and mystery of nature
passion flower,0,symbol of christianity
passion flower,0,symbol of faith
passion flower,0,"symbol of faith, hope, and love"
passion flower,0,symbol of hope and new beginnings
passion flower,0,symbol of love and passion
passion flower,0,"symbol of love, faith, and hope"
passion flower,0,"symbol of love, passion, and adventure"
passion flower,0,"symbol of love, passion, and faith"
passion flower,0,symbol of never-ending cycle of life and death
passion flower,0,"symbol of passion, love, and desire"
passion flower,0,symbol of purity and innocence
passion flower,0,"symbol of purity, passion, and love"
passion flower,0,symbol of strength and beauty
passion flower,0,symbol of the christian faith
passion flower,0,symbol of the holy trinity
passion flower,0,symmetrical
passion flower,0,taste similar to that of a cucumber
passion flower,0,the center is a deep purple color
passion flower,0,"the center is a deep yellow, with a purple hue"
passion flower,0,the center is filled with a cluster of stamens
passion flower,0,the center is often a deep yellow or orange
passion flower,0,the center is often brightly colored
passion flower,0,the center is often yellow or orange
passion flower,0,the center is yellow or white
passion flower,0,the center of the bloom typically contains a cluster of stamen
passion flower,0,"the center of the flower is composed of a cluster of small, yellowish-green flowers"
passion flower,0,"the center of the flower is often a deep, vibrant color"
passion flower,0,the center of the flower is often yellow or red
passion flower,0,they twist and curl around the stamens
passion flower,0,"thin, curved petals"
passion flower,0,three green sepals that protrude from the base of the bloom
passion flower,0,tips of the petals are often fringed
passion flower,0,tolerant of most climates
passion flower,0,tolerate a wide range of climates
passion flower,0,tolerate a wide range of conditions
passion flower,0,truly stunning
passion flower,0,truly stunning and unique color
passion flower,0,unique and beautiful
passion flower,0,unique and intricate pattern
passion flower,0,unique flowers are sure to impress
passion flower,0,unique shape
passion flower,0,"unique, beautiful shape"
passion flower,0,"unique, intricate pattern"
passion flower,0,unlike any other flower
passion flower,0,up to 12 inches across
passion flower,0,up to 15 feet in height
passion flower,0,used as a symbol of the passion of christ
passion flower,0,used by the aztecs in religious ceremonies
passion flower,0,used in a variety of traditional medicines
passion flower,0,used in bouquets
passion flower,0,used in herbal medicine for its calming effect
passion flower,0,used in jams and jelies
passion flower,0,used in landscaping
passion flower,0,used in landscaping and gardens
passion flower,0,used in landscaping for its beauty
passion flower,0,used in many perfumes and cosmetics
passion flower,0,used in perfumes
passion flower,0,used in religious art
passion flower,0,used in religious ceremonies
passion flower,0,used in religious ceremonies for centuries
passion flower,0,used in the production of passionfruit juice
passion flower,0,used in traditional medicine
passion flower,0,used in traditional medicine for centuries
passion flower,0,used in traditional medicine to treat a variety of ailments
passion flower,0,used in weddings
passion flower,0,usually a deep green color
passion flower,0,usually white or purple
passion flower,0,very beautiful
passion flower,0,very beautiful and special flower
passion flower,0,very beautiful color
passion flower,0,very beautiful flower
passion flower,0,very bold color
passion flower,0,very delicate
passion flower,0,very delicate flower
passion flower,0,very distinct shape
passion flower,0,very eye-catching
passion flower,0,very fragile flower
passion flower,0,very fragrant
passion flower,0,very fragrant flower
passion flower,0,"very fragrant flower, with a sweet, floral scent"
passion flower,0,very hardy plant
passion flower,0,very invasive
passion flower,0,very popular flower for bouquets and arrangements
passion flower,0,very popular flower for weddings
passion flower,0,very popular plant
passion flower,0,very powerful and symbolic color
passion flower,0,very unique and special flower
passion flower,0,vine
passion flower,0,"vine with beautiful, intricate flowers"
passion flower,0,well worth the effort to grow it
passion flower,0,"white ""halo"" around it"
passion flower,0,white and yellow accents
passion flower,0,white and yellow petals radiate outwards
passion flower,0,white center
passion flower,0,white halo around it
passion flower,0,white with purple streaks
passion flower,0,white with yellow center
passion flower,0,"wide range of colors, from white to purple"
passion flower,0,"wide range of colors, from white to purple to red"
passion flower,0,"wide range of colors, including white, pink, purple, and blue"
passion flower,0,"wide range of colors, including white, purple, blue, and pink"
passion flower,0,wide range of symbolic meaning in different cultures
passion flower,0,"wide variety of colors, including white, pink, purple, and blue"
passion flower,0,with a serrated edge
passion flower,0,with thin petals that curl inward
passion flower,0,worth the effort
passion flower,0,yellow flowers represent his holiness
passion flower,0,yellow represents faith
water lily,1,20 petals
water lily,1,3-5 inches in diameter
water lily,1,a reminder that we are all connected to the earth and the natural environment
water lily,1,a sign of hope and rebirth
water lily,1,about 3 to 6 inches in diameter
water lily,1,about 3-4 inches in diameter
water lily,1,about 6 inches in diameter
water lily,1,about 6-8 inches in diameter
water lily,1,add a touch of elegance to any setting
water lily,1,adds a touch of elegance and beauty
water lily,1,after pollination
water lily,1,"after the flower dies, the stem slowly bends over and the lily pad sink"
water lily,1,"after the flower flower blooms, it produces a large, round fruit that"
water lily,1,also associated with femininity and grace
water lily,1,also associated with rebirth and new beginnings
water lily,1,anchor it to the bottom of a pond
water lily,1,aquatic plant
water lily,1,arranged in a spiral pattern around the center
water lily,1,associated with fertility and rebirth
water lily,1,associated with the goddess isis
water lily,1,associated with the goddess venus
water lily,1,associated with the goddesses isis and aphrodite
water lily,1,associated with the goddesses venus and aphrodite
water lily,1,"attached to a long, slender stem that extends from the center of the"
water lily,1,"attached to the stem by a long, slender stalk"
water lily,1,attracts bees and butterflies
water lily,1,attracts bees and other insects
water lily,1,beautiful addition to any garden
water lily,1,beautiful addition to any garden or pond
water lily,1,beautiful and graceful flower
water lily,1,beautiful and popular flower
water lily,1,beautiful and serene flower
water lily,1,beautiful and serene white color
water lily,1,beautiful and special flower
water lily,1,beautiful and unique flower
water lily,1,beautiful bloom
water lily,1,beautiful flower
water lily,1,beautiful flower that blooms in the summer
water lily,1,beautiful flower that grows in ponds and lakes
water lily,1,beautiful flower that grows in ponds and other bodies of water
water lily,1,beautiful flower that grows in water
water lily,1,beautiful flower that is white in color
water lily,1,beautiful flower to look at
water lily,1,beautiful light pink color
water lily,1,beautiful representation of the natural world
water lily,1,beautiful shade of pink
water lily,1,beautiful symbol of summer
water lily,1,beautiful white
water lily,1,beautiful white color
water lily,1,beautiful white color with a hint of pink
water lily,1,"beautiful, delicate flower"
water lily,1,"beautiful, delicate shade of pink"
water lily,1,"beautiful, elegant flower"
water lily,1,"beautiful, fragrant flower"
water lily,1,"beautiful, serene flower"
water lily,1,believed to have healing properties
water lily,1,birth flower for the month of july
water lily,1,bloom in the summertime
water lily,1,blooming period usually lasts about two weeks
water lily,1,blooms at night
water lily,1,blooms for a few weeks in the summer
water lily,1,blooms for one day
water lily,1,blooms from june to august
water lily,1,blooms from june to september
water lily,1,blooms in ponds and lakes
water lily,1,blooms in the daytime and closes at night
water lily,1,blooms in the morning and closes at night
water lily,1,blooms in the summer
water lily,1,blooms in the summer and early fall
water lily,1,blooms in the summer and fall
water lily,1,blooms in the summer months
water lily,1,blooms in the summertime
water lily,1,blooms only blooms for one day
water lily,1,borne on a long stem that emerges from the center of the lily pad
water lily,1,borne on a slender stem that arises from the center of the plant
water lily,1,borne on a stem that arises from the center of the leaf
water lily,1,bright orange color
water lily,1,bring a touch of elegance to any setting
water lily,1,broad and thin
water lily,1,"can also be pink, yellow, or blue"
water lily,1,can often be detected near ponds or other bodies of water
water lily,1,center contains a yellow stamen
water lily,1,center is a deep yellow
water lily,1,"center is a deep, rich pink"
water lily,1,center is a deeper pink
water lily,1,center is yellow
water lily,1,center is yellow or green
water lily,1,"center of flower is filled with many small, yellow stamens"
water lily,1,cherished by many
water lily,1,circular shape
water lily,1,circular shape with a flat surface
water lily,1,close at night
water lily,1,closes during the day
water lily,1,"color can be white, pink, yellow, or blue"
water lily,1,"color can be white, yellow, or pink"
water lily,1,color is also a reminder that we are all connected to each other and the universe
