class,label
apple pie,0
baby back ribs,1
baklava,2
beef carpaccio,3
beef tartare,4
beet salad,5
beignets,6
bibimbap,7
bread pudding,8
breakfast burrito,9
bruschetta,10
caesar salad,11
cannoli,12
caprese salad,13
carrot cake,14
ceviche,15
cheese plate,16
cheesecake,17
chicken curry,18
chicken quesadilla,19
chicken wings,20
chocolate cake,21
chocolate mousse,22
churros,23
clam chowder,24
club sandwich,25
crab cakes,26
creme brulee,27
croque madame,28
cup cakes,29
deviled eggs,30
donuts,31
dumplings,32
edamame,33
eggs benedict,34
escargots,35
falafel,36
filet mignon,37
fish and chips,38
foie gras,39
french fries,40
french onion soup,41
french toast,42
fried calamari,43
fried rice,44
frozen yogurt,45
garlic bread,46
gnocchi,47
greek salad,48
grilled cheese sandwich,49
grilled salmon,50
guacamole,51
gyoza,52
hamburger,53
hot and sour soup,54
hot dog,55
huevos rancheros,56
hummus,57
ice cream,58
lasagna,59
lobster bisque,60
lobster roll sandwich,61
macaroni and cheese,62
macarons,63
miso soup,64
mussels,65
nachos,66
omelette,67
onion rings,68
oysters,69
pad thai,70
paella,71
pancakes,72
panna cotta,73
peking duck,74
pho,75
pizza,76
pork chop,77
poutine,78
prime rib,79
pulled pork sandwich,80
ramen,81
ravioli,82
red velvet cake,83
risotto,84
samosa,85
sashimi,86
scallops,87
seaweed salad,88
shrimp and grits,89
spaghetti bolognese,90
spaghetti carbonara,91
spring rolls,92
steak,93
strawberry shortcake,94
sushi,95
tacos,96
takoyaki,97
tiramisu,98
tuna tartare,99
waffles,100
