class,label,concept
apple pie,0,1 1/2 inches deep
apple pie,0,1 inch thick
apple pie,0,8 slices in the pie
apple pie,0,9 inches in diameter
apple pie,0,a scoop of vanilla food on top
apple pie,0,a touch of cinnamon and sugar give the filling a sweet and spicy flavor
apple pie,0,"a variety of shades, from light green to dark red"
apple pie,0,absolutely delicious
apple pie,0,absolutely perfect
apple pie,0,add
apple pie,0,add spices
apple pie,0,"after the first bite, you can't help but take another, and so on, until"
apple pie,0,allowed to cool before being served
apple pie,0,allowed to cool slightly before being served
apple pie,0,also delicious cold
apple pie,0,any type of apple
apple pie,0,any type of apples
apple pie,0,apples are cooked
apple pie,0,apples are cooked through
apple pie,0,apples are juicy
apple pie,0,apples are perfectly cooked
apple pie,0,apples are perfectly seasoned with cinnamon and sugar
apple pie,0,apples are soft
apple pie,0,apples are soft and juicy
apple pie,0,apples are tender
apple pie,0,apples are tender and juicy
apple pie,0,apples retaining just a bit of their firmness
apple pie,0,apples retaining their natural shape
apple pie,0,apples retaining their shape and flavor
apple pie,0,apples that are fresh and juicy
apple pie,0,aroma of the pie is mouth watering
apple pie,0,around for centuries
apple pie,0,arranged in a circular pattern
apple pie,0,arranged in a circular pattern in the pie dish
apple pie,0,arranged in a lattice top crust
apple pie,0,arranged in a perfect spiral
apple pie,0,baked
apple pie,0,baked ahead of time
apple pie,0,baked for about 45 minutes
apple pie,0,baked in a deep dish
apple pie,0,baked in a hot oven
apple pie,0,baked in a hot oven until the crust is golden brown
apple pie,0,baked in a hot oven until the dough is golden brown
apple pie,0,baked in a hot oven until the filling is bubbling and the crust is golden brown
apple pie,0,baked in a hot oven until the filling is bubbly
apple pie,0,baked in a hot oven until the pastry is golden brown and the filling is bubbling
apple pie,0,baked in a pie dish
apple pie,0,baked in a pie dish until the crust is golden brown and the filling is bubbly
apple pie,0,baked in a preheated oven until the crust is golden brown
apple pie,0,"baked in a round, deep-dish pie plate"
apple pie,0,"baked in a traditional pie crust, made from scratch"
apple pie,0,"baked in a variety of sizes, from a small personal size to a large family"
apple pie,0,baked in an oven
apple pie,0,baked in an oven until the crust is golden brown
apple pie,0,baked to perfection
apple pie,0,baked until the apples are soft and the crust is golden brown
apple pie,0,baked until the apples are soft and the filling is bubbly
apple pie,0,baked until the apples are tender
apple pie,0,baked until the crust is golden brown
apple pie,0,baked with a sugar and cinnamon mixture sprinkled on top
apple pie,0,bakes until the apples are tender
apple pie,0,beautiful contrast to the white plate it is served on
apple pie,0,beautiful golden brown
apple pie,0,beautiful golden-brown
apple pie,0,beautiful golden-brown crust
apple pie,0,beautiful lattice top
apple pie,0,"beautiful, deep brown"
apple pie,0,become a new favorite
apple pie,0,believed to have originated in england
apple pie,0,best eaten fresh
apple pie,0,best eaten warm
apple pie,0,best enjoyed fresh out of the oven
apple pie,0,best enjoyed with a cup of coffee or tea
apple pie,0,best enjoyed with a scoop of vanilla food
apple pie,0,best enjoyed with family and friends
apple pie,0,best enjoyed with friends and family
apple pie,0,best food
apple pie,0,best granny smith apples
apple pie,0,best i've had
apple pie,0,best made with granny smith apples
apple pie,0,best pie you will ever eat
apple pie,0,best served cold
apple pie,0,best served fresh
apple pie,0,best served the day it is made
apple pie,0,best served warm
apple pie,0,best served warm with a dollop of whipped cream or food
apple pie,0,best served warm with a scoop of food
apple pie,0,best served warm with a scoop of vanilla food
apple pie,0,best served warm with food
apple pie,0,"best served warm, with a scoop of food"
apple pie,0,"best served warm, with a scoop of food on top"
apple pie,0,"best served warm, with a scoop of food or a dollop of"
apple pie,0,"best served warm, with a scoop of vanilla food"
apple pie,0,"best served warm, with a scoop of vanilla food on top"
apple pie,0,best served with a cup of coffee or tea
apple pie,0,best served with a dollop of whipped cream
apple pie,0,"best served with a scoop of food, and a cup of coffee"
apple pie,0,best served with a scoop of vanilla food
apple pie,0,best served within 2 days of baking
apple pie,0,best served within 2 days of being baked
apple pie,0,best served within a few days of being made
apple pie,0,best when made with fresh apples
apple pie,0,best when made with granny smith apples
apple pie,0,best when served with a scoop of vanilla food
apple pie,0,best when shared with friends and family
apple pie,0,bit of cinnamon flavor
apple pie,0,bit of crunch from the apples
apple pie,0,bit thicker than usual
apple pie,0,bottom crust
apple pie,0,bottom crust is made of dough that is rolled out flat
apple pie,0,bottom layer is a crust
apple pie,0,"bottom layer is a flaky, buttery crust"
apple pie,0,bottom of the pie is crimped
apple pie,0,bottom of the pie is round
apple pie,0,braided and crimped
apple pie,0,bright red filling
apple pie,0,"bright, sunny brown"
apple pie,0,brought to the americas by early european settlers
apple pie,0,bubbl
apple pie,0,bubbly and thick
apple pie,0,bubbly filling
apple pie,0,butter makes it rich and decadent
apple pie,0,buttery flavor
apple pie,0,calories per slice are about 340
apple pie,0,can be frozen for up to 2 months
apple pie,0,"can be made in a variety of sizes, from mini to large"
apple pie,0,"can be made with other fruits, such as peaches, berries, or even pumpkin"
apple pie,0,can be stored in the fridge for up to 2 days
apple pie,0,can be stored in the fridge for up to 3 days
apple pie,0,can be stored in the fridge for up to 5 days
apple pie,0,can be stored in the fridge for up to a week
apple pie,0,can be stored in the refrigerator for up to 3 days
apple pie,0,can be stored in the refrigerator for up to 5 days
apple pie,0,can't get enough
apple pie,0,canned apples
apple pie,0,casual family gathering to a formal dinner party
apple pie,0,cinnamon flavor
apple pie,0,cinnamon in the filling
apple pie,0,circular in shape
apple pie,0,circular shape
apple pie,0,classic american dessert
apple pie,0,classic dessert
apple pie,0,classic dessert that is always a hit
apple pie,0,classic dessert that is perfect for any occasion
apple pie,0,classic dessert that will never go out of style
apple pie,0,classic food
apple pie,0,classic food recipe
apple pie,0,coated in a sugar and spice mixture
apple pie,0,color
apple pie,0,color is a reminder of all the good things in life
apple pie,0,"color is caramel-y, golden brown"
apple pie,0,color is deep and rich
apple pie,0,"color is deep, rich brown"
apple pie,0,color is everything you would want in an food
apple pie,0,color is golden brown
apple pie,0,color is intense and beautiful
apple pie,0,color is just right
apple pie,0,color is like the color of a fall leaves
apple pie,0,color is mouth-watering
apple pie,0,color is perfect
apple pie,0,color is perfect for a winter dessert
apple pie,0,color is perfect for fall
apple pie,0,color is rich and delicious
apple pie,0,"color is rich, dark brown"
apple pie,0,color is similar to that of a freshly baked loaf of bread
apple pie,0,color is similar to the color of a fall leaves
apple pie,0,color is so intense that it almost looks fake
apple pie,0,color is stunning
apple pie,0,color is tantalizing
apple pie,0,color is very warm and inviting
apple pie,0,color is warm and inviting
apple pie,0,color makes me think of fall leaves
apple pie,0,color makes me want to take a bite
apple pie,0,color of happiness
apple pie,0,color of home
apple pie,0,color of love
apple pie,0,color of the food is irresistible
apple pie,0,color of the food makes you think of home
apple pie,0,color of the food makes you think of thanksgiving
apple pie,0,color of the food makes your mouth water
apple pie,0,color very similar to the color of a cinnamon bun
apple pie,0,combination of the warm pie and cold food is amazing
apple pie,0,combination of the warm pie and cold food is delicious
apple pie,0,combination of the warm pie and cold food is heavenly
apple pie,0,contrast of the warm pie and the cold food is heavenly
apple pie,0,cooked to perfection
apple pie,0,cooked until they are soft and slightly thickened
apple pie,0,covered in a sugar and cinnamon glaze
apple pie,0,"covered in a sweet, sticky filling"
apple pie,0,"covered in a sweet, thickened sauce"
apple pie,0,covered with
apple pie,0,crescent-shaped
apple pie,0,crimped around the edge of the pie dish
apple pie,0,crisp and crunchy texture
apple pie,0,crisp crust
apple pie,0,crispy and flaky
apple pie,0,crunchy texture
apple pie,0,crust
apple pie,0,crust has a lattice top crust
apple pie,0,crust is enclosed in the crust
apple pie,0,crust is flaky
apple pie,0,crust is flaky and buttery
apple pie,0,crust is flaky and golden
apple pie,0,crust is flaky and golden-brown
apple pie,0,crust is flaky and light
apple pie,0,crust is golden brown and flaky
apple pie,0,crust is golden-brown
apple pie,0,"crust is made with all-purpose flour, butter, sugar, and salt"
apple pie,0,crust is perfectly baked
apple pie,0,crust is perfectly flaky
apple pie,0,crust is slightly crispy
apple pie,0,crusty
apple pie,0,cut into thin slices
apple pie,0,cut into wedges
apple pie,0,cylindrical
apple pie,0,"dark, chocolatey brown"
apple pie,0,deep
apple pie,0,deep amber color
apple pie,0,deep golden brown
apple pie,0,deep golden color
apple pie,0,deep golden-brown
apple pie,0,deep red color
apple pie,0,deep red or green color
apple pie,0,"deep red, almost burgundy color"
apple pie,0,"deep, reddish brown"
apple pie,0,"deep, rich red"
apple pie,0,delicate balance of spices
apple pie,0,delicious
apple pie,0,delicious and easy to make dessert
apple pie,0,delicious and timeless dessert
apple pie,0,delicious dessert
apple pie,0,delicious dessert that everyone will enjoy
apple pie,0,delicious flavor and perfect crust
apple pie,0,delicious flavor and perfect texture
apple pie,0,delicious way to end a meal
apple pie,0,dessert
apple pie,0,diameter multiplied by pi
apple pie,0,diameter of 10 inches
apple pie,0,diameter of about 9 inches
apple pie,0,diameter of the pie is 9 inches
apple pie,0,different types of apples
apple pie,0,double crust
apple pie,0,"dough for the crust is usually made with flour, butter, and salt"
apple pie,0,dough is then rolled up
apple pie,0,dusted with sugar
apple pie,0,dusted with sugar and cinnamon
apple pie,0,each bite is a little bit of heaven
apple pie,0,each bite just gets better with each bite
apple pie,0,easy to follow
apple pie,0,easy to make
apple pie,0,edge crimped
apple pie,0,edges are crimped
apple pie,0,edges are crimped and scalloped
apple pie,0,edges of the pie are fluted
apple pie,0,"either a traditional pastry crust, or a crumb crust made with butter, sugar,"
apple pie,0,enclosed in the crust
apple pie,0,ends of the dough are crimped together
apple pie,0,enhance with the addition of spices
apple pie,0,enjoy your homemade food with a cup of coffee or tea
apple pie,0,enjoyed all year
apple pie,0,enjoyed any time of year
apple pie,0,enjoyed at room temperature
apple pie,0,enjoyed with a dollop of whipped cream
apple pie,0,"envelops a filling of fresh, juicy"
apple pie,0,evenly distributed throughout the pie
apple pie,0,"every bite is a heavenly combination of sweet apples, spices, and a flaky"
apple pie,0,every bite is filled with the perfect amount of sweetness
apple pie,0,"every bite is filled with the sweet, tart flavor of the apples"
apple pie,0,every bite is packed with flavor
