class,label,concept
actinic keratoses,0,a type of precancer
actinic keratoses,0,affecting more than 10 million people in the united states
actinic keratoses,0,affects millions of people worldwide
actinic keratoses,0,all within the same color range
actinic keratoses,0,any color
actinic keratoses,0,anyone who is exposed to uv light is at risk
actinic keratoses,0,"appear on the lips, ears, and chest"
actinic keratoses,0,"appear on the lips, ears, or chest"
actinic keratoses,0,asymptomatic
actinic keratoses,0,at highest risk
actinic keratoses,0,at increased risk
actinic keratoses,0,avoid sun exposure and use sunscreen regularly
actinic keratoses,0,avoid tanning beds
actinic keratoses,0,avoiding sun exposure
actinic keratoses,0,become cancerous
actinic keratoses,0,become cancerous if left untreated
actinic keratoses,0,benign (non-cancerous)
actinic keratoses,0,bleed or become crusted
actinic keratoses,0,bleed or become infected if scratched
actinic keratoses,0,bleed or crust over
actinic keratoses,0,bleed or crust over when scratched
actinic keratoses,0,bleed or turn into cancer
actinic keratoses,0,blend in with the surrounding skin
actinic keratoses,0,blonde or red hair
actinic keratoses,0,blue or green eyes
actinic keratoses,0,border of the lesion is often irregular
actinic keratoses,0,borders of skin lesions can be well-defined or indistinc
actinic keratoses,0,can become cancerous if left untreated
actinic keratoses,0,can occur at any age
actinic keratoses,0,cancerous
actinic keratoses,0,cannot be spread from one person to another
actinic keratoses,0,catch them early
actinic keratoses,0,"cause itching, burning, or pain"
actinic keratoses,0,caused by chronic sun exposure
actinic keratoses,0,caused by damage to the skin from ultraviolet (uv) light
actinic keratoses,0,caused by excess sun exposure
actinic keratoses,0,caused by exposure to ultraviolet (uv) light
actinic keratoses,0,caused by exposure to ultraviolet (uv) light from the sun or tanning beds
actinic keratoses,0,caused by exposure to ultraviolet (uv) radiation from the sun or other sources
actinic keratoses,0,caused by exposure to ultraviolet (uv) radiation from the sun or tanning beds
actinic keratoses,0,caused by sun damage
actinic keratoses,0,center of patch is often lighter in color than the surrounding skin
actinic keratoses,0,center of patch may be flat or raised
actinic keratoses,0,change over time
actinic keratoses,0,check by a doctor
actinic keratoses,0,check for regular check-ups with dermatologist
actinic keratoses,0,checked by a doctor
actinic keratoses,0,color can also be described as a black
actinic keratoses,0,color can also be described as a pink
actinic keratoses,0,color can also be described as a purple
actinic keratoses,0,color can also be described as a red
actinic keratoses,0,color can also be described as a white
actinic keratoses,0,color can also be described as a yellow
actinic keratoses,0,color can also be described as an orange
actinic keratoses,0,color can also change over time
actinic keratoses,0,color can also vary depending on the stage of the disease
actinic keratoses,0,"color can be white, pink, or red"
actinic keratoses,0,"color can change over time, becoming darker or lighter"
actinic keratoses,0,color can vary depending on person's skin tone
actinic keratoses,0,color can vary depending on the individual lesion
actinic keratoses,0,color can vary from light pink to dark red
actinic keratoses,0,color can vary from white to light brown
actinic keratoses,0,color can vary quite a bit
actinic keratoses,0,color fade away completely
actinic keratoses,0,color from light tan to black
actinic keratoses,0,color is consistent across all skin lesions
actinic keratoses,0,"color is often uneven, with patches of different shades"
actinic keratoses,0,color is slightly lighter than the surrounding skin
actinic keratoses,0,color is variable
actinic keratoses,0,color may also change depending on the location of the lesion
actinic keratoses,0,color may also change over time as the disease progresses
actinic keratoses,0,color of skin lesions can vary
actinic keratoses,0,color range in color from very light pink to dark brown
actinic keratoses,0,color range in color from white to tan to pink to red
actinic keratoses,0,color very variable
actinic keratoses,0,come and go
actinic keratoses,0,come back
actinic keratoses,0,come back even after they have been treated
actinic keratoses,0,common condition
actinic keratoses,0,common skin condition
actinic keratoses,0,"commonly found on the face, neck, hands, and tees"
actinic keratoses,0,concerns about a scaly patch on your skin
actinic keratoses,0,concerns about skin lesions
actinic keratoses,0,considered pre-cancerous
actinic keratoses,0,considered precancerous
actinic keratoses,0,crusted or have a waxy appearance
actinic keratoses,0,crusted or scabbed over
actinic keratoses,0,crusted or scaly surface
actinic keratoses,0,cryotherapy
actinic keratoses,0,damage from uv light can occur over time
actinic keratoses,0,dark brown
actinic keratoses,0,dark-skinned people
actinic keratoses,0,darken or lighten depending on the individual lesion
actinic keratoses,0,"darker in color, such as brown or black"
actinic keratoses,0,dermatologtologists can usually treat skin lesions effectively
actinic keratoses,0,develop into skin cancer
actinic keratoses,0,develop into skin cancer if left untreated
actinic keratoses,0,develop into squamous cell carcinoma
actinic keratoses,0,"develop into squamous cell carcinoma, a type of skin cancer"
actinic keratoses,0,develop into squamous cell skin cancer
actinic keratoses,0,develop into squamous cell skin cancer if left un
actinic keratoses,0,develop slowly over time
actinic keratoses,0,diagnosed by dermatologist based on their appearance
actinic keratoses,0,different color from the surrounding skin
actinic keratoses,0,"different colors, including tan, pink, red, or white"
actinic keratoses,0,different lesions may also have a slightly different coloration depending on the time of year or
actinic keratoses,0,do not develop skin cancer
actinic keratoses,0,do not experience any complications from it
actinic keratoses,0,done for cosmetic reasons
actinic keratoses,0,"done with cryotherapy, laser therapy, or surgery"
actinic keratoses,0,"done with topical treatments, such as creams or gels"
actinic keratoses,0,"dry, itchy, or tender"
actinic keratoses,0,"dry, rough, and scaly"
actinic keratoses,0,early detection and treatment is important to prevent the development of skin cancer
actinic keratoses,0,early detection and treatment is important to prevent the progression to squamous cell carcinoma
actinic keratoses,0,early detection and treatment of skin lesions can help prevent skin cancer
actinic keratoses,0,early detection and treatment of skin lesions can help prevent the development of
actinic keratoses,0,early detection and treatment of skin lesions can prevent them from developing into
actinic keratoses,0,early detection and treatment of skin lesions is important to prevent them from
actinic keratoses,0,early lesions may be lighter in color
actinic keratoses,0,edges may be raised
actinic keratoses,0,"edges may be raised, crusted, or thickened"
actinic keratoses,0,eventually turn into a skin cancer
actinic keratoses,0,eventually turn into skin cancer
actinic keratoses,0,eventually turn into squamous cell carcinoma
actinic keratoses,0,excision
actinic keratoses,0,extract concepts from sentence:
actinic keratoses,0,"face, neck, hands, and arms"
actinic keratoses,0,"face, scalp, neck, hands, and arms"
actinic keratoses,0,"face, scalp, neck, hands, and forearms"
actinic keratoses,0,fair skin
actinic keratoses,0,"fair skin, blue eyes, and red hair are at highest risk"
actinic keratoses,0,"fair skin, light hair, and blue eyes are at higher risk"
actinic keratoses,0,flat
actinic keratoses,0,flat or raised
actinic keratoses,0,flesh-toned
actinic keratoses,0,"form on the face, lips, ears, neck, chest, and hands"
actinic keratoses,0,found in areas that have been exposed to the sun
actinic keratoses,0,found in groups or clusters
actinic keratoses,0,found in people who have had a lot of exposure to sunlight
actinic keratoses,0,found on any area of the body that has been exposed to the sun
actinic keratoses,0,"found on the face, scalp, chest, and hands"
actinic keratoses,0,freeze the skin lesions with liquid nitrogen
actinic keratoses,0,from light pink to dark brown
actinic keratoses,0,generally painless
actinic keratoses,0,"generally small, scaly, and slightly raised"
actinic keratoses,0,"generally, skin lesions appear as small, scaly"
actinic keratoses,0,go away on their own
actinic keratoses,0,green
actinic keratoses,0,grow larger
actinic keratoses,0,"have a rough,"
actinic keratoses,0,help to lessen the appearance of actin
actinic keratoses,0,"if they become large or numerous, they can be painful or itchy"
actinic keratoses,0,important to note that skin lesions can also change color without fading
actinic keratoses,0,important to see a dermatologist for regular check-ups
actinic keratoses,0,important to see a dermatologist for treatment
actinic keratoses,0,"in rare cases, they can become cancerous"
actinic keratoses,0,"in some cases, skin lesions can lead to squam"
actinic keratoses,0,"in some cases, the lesions may be removed surgically"
actinic keratoses,0,"in some cases, the patch may bleed or crust over"
actinic keratoses,0,"in some cases, they can bleed or become infected"
actinic keratoses,0,"in some cases, they may bleed or crust over"
actinic keratoses,0,"in some cases, they may bleed or develop into a crust"
actinic keratoses,0,increase risk of developing skin cancer
actinic keratoses,0,increased risk for developing
actinic keratoses,0,increased risk for developing skin cancer
actinic keratoses,0,increased risk for developing skin lesions
actinic keratoses,0,itchy or painful
actinic keratoses,0,itchy or sore
actinic keratoses,0,itchy or tender
actinic keratoses,0,"itchy, sore, or tender"
actinic keratoses,0,laser therapy can help to destroy the skin lesions and improve the appearance
actinic keratoses,0,lead to skin cancer if left untreated
actinic keratoses,0,left untreated
actinic keratoses,0,"lesion may be found on the face, neck, hands, or hands"
actinic keratoses,0,lesions are often raised
actinic keratoses,0,lesions on the body are often more white or pale in color
actinic keratoses,0,lesions on the face or scalp are often more pink or red in color
actinic keratoses,0,lesions typically appear on sun-exposed areas of the skin
actinic keratoses,0,less common treatment options
actinic keratoses,0,less than 1 cm in diameter
actinic keratoses,0,less than 5mm in diameter
actinic keratoses,0,light black
actinic keratoses,0,light blue
actinic keratoses,0,light brown
actinic keratoses,0,light brown color
actinic keratoses,0,light cream
actinic keratoses,0,light gray
actinic keratoses,0,light green
actinic keratoses,0,light pink or red
actinic keratoses,0,light purple
actinic keratoses,0,light tan
actinic keratoses,0,light to medium brown color
actinic keratoses,0,light white
actinic keratoses,0,light-skinned people
actinic keratoses,0,lighten or darken after treatment
actinic keratoses,0,limit your exposure to uv radiation
actinic keratoses,0,long-term exposure to sunlight or other ultraviolet light
actinic keratoses,0,long-term exposure to ultraviolet (uv) radiation from the sun or from tanning beds
actinic keratoses,0,long-term exposure to ultraviolet (uv) radiation from the sun or tanning beds
actinic keratoses,0,long-term sun exposure
actinic keratoses,0,may eventually develop into squamous cell skin cancer
actinic keratoses,0,may feel like sandpaper
actinic keratoses,0,monitored by a dermatologist
actinic keratoses,0,more advanced lesions may be darker
actinic keratoses,0,more common in fair-skinned individuals
actinic keratoses,0,more common in older adults
actinic keratoses,0,more common in people over the age of 40
actinic keratoses,0,more common in people who have a history of sun exposure
actinic keratoses,0,more common in people with fair skin
actinic keratoses,0,more than 10 million americans
actinic keratoses,0,more visible because they are often a different color than
actinic keratoses,0,most common in people with fair skin
actinic keratoses,0,"most common on the face, scalp, neck, hands, and"
actinic keratoses,0,most common precancerous condition of the skin
actinic keratoses,0,most common treatment option
actinic keratoses,0,"most common treatments include cryotherapy, topical chemotherapy, and laser therapy"
actinic keratoses,0,most common type of precancerous lesion in the united states
actinic keratoses,0,"most commonly found on the face, lips, ears, back of the hands, and fore"
actinic keratoses,0,"most commonly found on the face, lips, ears, back of the hands, forearm"
actinic keratoses,0,"most commonly found on the face, lips, ears, hands, and arms"
actinic keratoses,0,"most commonly found on the face, scalp, back of the hands, and forearms"
actinic keratoses,0,"most commonly found on the face, scalp, chest, hands, and arms—areas that"
actinic keratoses,0,"most commonly found on the face, scalp, ears, back of the hands, and fore"
actinic keratoses,0,"most commonly found on the face, scalp, hands, arms, and legs"
actinic keratoses,0,"most commonly found on the face, scalp, neck, hands, and forearms"
actinic keratoses,0,"most commonly seen on the face, scalp"
actinic keratoses,0,"most often develop on the face, lips, ears, back of the hands, and fore"
actinic keratoses,0,"most often found on the face, lips, ears, back of the hands, forearm"
actinic keratoses,0,"most often found on the face, scalp, ears, neck, hands, and lips"
actinic keratoses,0,most people will develop at least one during their lifetime
actinic keratoses,0,most skin lesions can be easily treated
actinic keratoses,0,not cancerous
actinic keratoses,0,not contagious
actinic keratoses,0,not necessary
actinic keratoses,0,not painful or itchy
actinic keratoses,0,not usually cause of concern
actinic keratoses,0,not usually painful or itchy
actinic keratoses,0,occur anywhere on the body
actinic keratoses,0,occur in all skin types
actinic keratoses,0,occur in any body site that has been exposed to sunlight
actinic keratoses,0,occur in clusters
actinic keratoses,0,occur in people of all skin types
actinic keratoses,0,occur on any area of sun-exposed skin
actinic keratoses,0,occur on any area of the body that has been exposed to sunlight
actinic keratoses,0,occur on any area of the body that has been exposed to the sun
actinic keratoses,0,occur singly or in groups
actinic keratoses,0,of various shapes and sizes
actinic keratoses,0,often found in people who have a history of sun exposure or other forms of ultraviolet light exposure
actinic keratoses,0,"often found on the face, lips, ears, or hands"
actinic keratoses,0,"often found on the face, neck, hands, and hands"
actinic keratoses,0,"often found on the face, scalp, hands, or hands, where the skin has been exposed"
actinic keratoses,0,"often found on the face, scalp, neck, hands, and arms"
actinic keratoses,0,"often found on the face, scalp, neck, hands, or hands"
actinic keratoses,0,"often occur on the face, neck, hands, and hands"
actinic keratoses,0,often slightly elevated above the surrounding skin
actinic keratoses,0,or it may be variegated
actinic keratoses,0,or they may have several different colors within the same lesion
actinic keratoses,0,or with more invasive
actinic keratoses,0,painful or itchy
actinic keratoses,0,"painful, itchy, or both"
actinic keratoses,0,"painful, itchy, or tender"
actinic keratoses,0,"painful, itchy, or tender to the touch"
actinic keratoses,0,"pale pink, light brown, or tan"
actinic keratoses,0,patch is usually no bigger than a quarter
actinic keratoses,0,patch may become infected
actinic keratoses,0,patch may bleed if scratched
actinic keratoses,0,patch may bleed or crust over
actinic keratoses,0,patch may get larger over time
actinic keratoses,0,patch may grow larger or spread to other areas
actinic keratoses,0,patch may itch or burn
actinic keratoses,0,"patch may itch, burn, or sting"
actinic keratoses,0,patches can become darker or lighter in color without disappearing completely
actinic keratoses,0,patches may be itchy or painful
actinic keratoses,0,patches may become darker or lighter in color
actinic keratoses,0,pattern of skin lesions is often irregular and asymmetrical
actinic keratoses,0,people with a history of sun exposure and sunburns are at increased risk
actinic keratoses,0,performed to rule out other conditions
actinic keratoses,0,photodynamic therapy
actinic keratoses,0,"pink, red, or brown"
actinic keratoses,0,"pink, red, or brown in color"
actinic keratoses,0,"pink, red, or even slightly blue"
actinic keratoses,0,"pink, red, or tan in color"
actinic keratoses,0,"pink, red, or white"
actinic keratoses,0,potential to turn into skin cancer
actinic keratoses,0,precancerous
actinic keratoses,0,precancerous condition
actinic keratoses,0,precancerous lesion
actinic keratoses,0,precancerous lesions
actinic keratoses,0,prevent by sun exposure and using sunscreen
actinic keratoses,0,prevent by using sunscreen and avoiding sun exposure
actinic keratoses,0,prevent by uv exposure and using sunscreen
actinic keratoses,0,prevent skin lesions by avoiding sun exposure
actinic keratoses,0,prevent sun exposure and using sunscreen
actinic keratoses,0,prevent sun exposure and using sunscreen with an spf 30 or higher
actinic keratoses,0,prevent them by avoiding the sun and using sunscreen
actinic keratoses,0,progress to squamous cell carcinoma
actinic keratoses,0,progress to squamous cell carcinoma if left
actinic keratoses,0,protect your skin from further damage by using sunscreen
actinic keratoses,0,raise or flat
actinic keratoses,0,raised or even crusted
actinic keratoses,0,raised or flat
actinic keratoses,0,"raised, red, scaly patches on the skin"
actinic keratoses,0,"raised, scaly, and crusty patches on the skin"
actinic keratoses,0,"raised, scaly, and rough patches on the skin"
actinic keratoses,0,"raised, scaly, and slightly red patches on the skin"
actinic keratoses,0,"raised, scaly, red or brown patch on the skin"
actinic keratoses,0,range in color from light pink to dark brown
actinic keratoses,0,range in color from light pink to dark tan or black
actinic keratoses,0,range in size from a few milli
actinic keratoses,0,range in size from a few millimeters to a few cent
actinic keratoses,0,range in size from a few millimeters to a few centimeters
actinic keratoses,0,range in size from a few millimeters to several centimeters
actinic keratoses,0,ranging from a few millimeters to a few
actinic keratoses,0,rare cases
actinic keratoses,0,recommended to prevent the lesions from turning into skin cancer
actinic keratoses,0,"recur, so regular follow-up with a dermatologist is important"
actinic keratoses,0,red
actinic keratoses,0,red or blond hair
actinic keratoses,0,"red, brown, or black"
actinic keratoses,0,"red, brown, or tan in color"
actinic keratoses,0,"red, brown, or white in color"
actinic keratoses,0,"red, brown, or yellowish in color"
actinic keratoses,0,"red, white, or tan in color"
actinic keratoses,0,"red, yellow, tan, white, or light brown"
actinic keratoses,0,resemble a wart or a mole
actinic keratoses,0,rough and scaly
actinic keratoses,0,rough or crusted surface
actinic keratoses,0,rough or smooth
actinic keratoses,0,"rough, scaly texture"
actinic keratoses,0,"rough, scaly, or crusted surface"
actinic keratoses,0,scaly or crusted
actinic keratoses,0,scaly or crusted surface
actinic keratoses,0,"scaly, crusted, or rough"
actinic keratoses,0,scattered across a large area
actinic keratoses,0,see a dermatologist
actinic keratoses,0,see a dermatologist for evaluation
actinic keratoses,0,sign of more serious skin problems
actinic keratoses,0,singly or in groups
actinic keratoses,0,size range in size from a few millimeters to a few centimeter
actinic keratoses,0,skin cancer
actinic keratoses,0,skin lesions are not cancerous
actinic keratoses,0,"skin lesions are slightly raised, rough, scaly patches"
actinic keratoses,0,skin lesions can also appear as white or light-colored bumps
actinic keratoses,0,skin lesions have an irregular shape
actinic keratoses,0,skin lesions may itch or feel sore
actinic keratoses,0,slightly darker than the surrounding skin
actinic keratoses,0,slightly irregular border
actinic keratoses,0,slightly raised
actinic keratoses,0,small and rough
actinic keratoses,0,small or large
actinic keratoses,0,"small, dry, scaly patches on the skin"
actinic keratoses,0,"small, flat, and scaly patches on the skin"
actinic keratoses,0,"small, hard bumps that form on the skin"
actinic keratoses,0,"small, raised lesion"
actinic keratoses,0,"small, raised lesions that are often red, scaly, and crusted"
actinic keratoses,0,"small, raised, and rough"
actinic keratoses,0,"small, raised, and scaly"
actinic keratoses,0,"small, raised, and scaly patches on the skin"
actinic keratoses,0,"small, raised, and scaly patches that can appear on the skin"
actinic keratoses,0,"small, raised, scaly patches on the skin"
actinic keratoses,0,"small, red or brown lesion"
actinic keratoses,0,"small, rough, scaly patches on the skin"
actinic keratoses,0,"small, round, and raised"
actinic keratoses,0,"small, scaly bump"
